"id";"titulo";"autor";"ano";"genero"
1;"A Metamorfose";"Franz Kafka";1915;"Novela, Literatura Clássica"
2;"Moby Dick";"Herman Melville";1851;"Romance Psicológico, Ficção, Épico"
3;"O Rei de Amarelo";"Robert W. Chambers";1895;"Terror, Ficção Supernatural, Conto, Horror Cósmico"
4;"Ponto de Vista do Leitor Onisciente";"singNsong";2018;"Ação, Fantasia, Metaficção"
5;"Drácula";"Bram Stoker";1897;"Terror, Ficção, Romance"
6;"O Estrangeiro";"Albert Camus";1942;"Romance, Ficção"
7;"Don Quixote";"Miguel de Cervantes";1615;"Romance, Sátira, Paródia"
8;"Morro dos Ventos Uivantes";"Emily Brontë";1847;"Romance, Ficção Gótica, Tragédia"
9;"Lorde dos Mistérios";"Yuan Ye";2020;"Horror Cósmico, Misticismo, Ficção, Ação"
10;"Água Viva";"Clarice Lispector";1973;"Ficção"
