"id";"marca";"modelo";"cor";"ano";"valor"
1;"FIAT";"Pulse";"Rosa";2021;116990.0
2;"Chevrolet";"Astra Advantage 2.0";"Verde";2011;33000.0
3;"Peugeot";"208 Active 1.5 (Manual)";"Tiffany";2015;37500.0
4;"Hyundai";"Creta Limited Safety 1.0 Turbo";"Verde Vomito";2025;130500.0
5;"Volkswagen";"Tera High TSI Turbo";"Amarelo";2026;129990.0
6;"Porsche";"911 Carrera";"Vinho";2026;930000.0
7;"Pagani";"Utopia V12 6.0 BiTurbo (864 cv)";"Branco";2025;60000000.0
8;"Rolls Royce";"Droptail (Edição única La Rose Noire)";"Vermelho";2024;171000000.0
9;"Toyota";"SW4 Diamond 2.8 Diesel (4x4)";"Tangerina";2026;440000.0
10;"Chevrolet";"Celta Spirit 1.0";"Banana";2011;24000.0
11;"Fiat";"Uno Mille Fire 1.0";"Maçã";2010;19500.0
12;"Koenigsegg";"Jesko Absolut";"Ferrugem";2025;28000000.0
